url;harvest_iteration;title;sim_sentence;sim_paragraph;file_format;body;harvest_date
../fake-data/blob/hipster.txt;71802;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;doc;../fake-data/blob/hipster.txt;2020-10-20T19:00:21
../fake-data/blob/hipster.txt;84587;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;html;../fake-data/blob/hipster.txt;2020-10-21T06:19:09
../fake-data/blob/hipster.txt;1902;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;doc;../fake-data/blob/hipster.txt;2020-10-21T04:29:41
../fake-data/blob/hipster.txt;99993;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;html;../fake-data/blob/hipster.txt;2020-10-21T08:04:51
../fake-data/blob/hipster.txt;2632;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;html;../fake-data/blob/hipster.txt;2020-10-21T00:21:23
../fake-data/blob/hipster.txt;74408;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;html;../fake-data/blob/hipster.txt;2020-10-21T00:20:25
../fake-data/blob/hipster.txt;85990;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;html;../fake-data/blob/hipster.txt;2020-10-21T07:37:40
../fake-data/blob/hipster.txt;1785;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;doc;../fake-data/blob/hipster.txt;2020-10-20T17:05:15
../fake-data/blob/hipster.txt;22715;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;html;../fake-data/blob/hipster.txt;2020-10-21T12:44:38
../fake-data/blob/hipster.txt;9525;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;doc;../fake-data/blob/hipster.txt;2020-10-21T01:17:11
