id;text;author;statement_date;registration_date;main_article_text;main_article_url;topic_id
1;../fake-data/blob/preview-title/preview-title-1.txt;Νότης Μηταράκης;2020-10-21T04:14:17;;../fake-data/blob/preview-text/preview-text-1.txt;../fake-data/blob/main-article-url/main-article-url-1.txt;1
2;../fake-data/blob/preview-title/preview-title-2.txt;Κυριάκος Μητσοτάκης;2020-10-21T11:18:14;;../fake-data/blob/preview-text/preview-text-2.txt;../fake-data/blob/main-article-url/main-article-url-2.txt;1
3;../fake-data/blob/preview-title/preview-title-3.txt;Κυριάκος Βελόπουλος;2020-10-21T01:34:58;;../fake-data/blob/preview-text/preview-text-3.txt;../fake-data/blob/main-article-url/main-article-url-3.txt;1
4;../fake-data/blob/preview-title/preview-title-4.txt;Πρώτο Θέμα/Δημήτρης Πώποτας"," Άρια Καλύβα;2020-10-20T21:20:40;;../fake-data/blob/preview-text/preview-text-4.txt;../fake-data/blob/main-article-url/main-article-url-4.txt;1
5;../fake-data/blob/preview-title/preview-title-5.txt;Καθημερινή/Βασίλης Νέδος;2020-10-21T06:32:04;;../fake-data/blob/preview-text/preview-text-5.txt;../fake-data/blob/main-article-url/main-article-url-5.txt;1
6;../fake-data/blob/preview-title/preview-title-6.txt;Μουντζούρης;2020-10-20T23:26:11;;../fake-data/blob/preview-text/preview-text-6.txt;../fake-data/blob/main-article-url/main-article-url-6.txt;1
7;../fake-data/blob/preview-title/preview-title-7.txt;Μουντζούρης;2020-10-20T15:32:00;;../fake-data/blob/preview-text/preview-text-7.txt;../fake-data/blob/main-article-url/main-article-url-7.txt;1
8;../fake-data/blob/preview-title/preview-title-8.txt;Υπουργείο Μετανάστευσης και Ασύλου;2020-10-20T18:06:18;;../fake-data/blob/preview-text/preview-text-8.txt;../fake-data/blob/main-article-url/main-article-url-8.txt;1
9;../fake-data/blob/preview-title/preview-title-9.txt;Βραδυνή;2020-10-21T03:24:07;;../fake-data/blob/preview-text/preview-text-9.txt;../fake-data/blob/main-article-url/main-article-url-9.txt;1
10;../fake-data/blob/preview-title/preview-title-10.txt;Βραδυνή;2020-10-21T07:23:49;;../fake-data/blob/preview-text/preview-text-10.txt;../fake-data/blob/main-article-url/main-article-url-10.txt;1
11;../fake-data/blob/preview-title/preview-title-11.txt;Capital.gr;2020-10-21T04:14:17;;../fake-data/blob/preview-text/preview-text-11.txt;../fake-data/blob/main-article-url/main-article-url-11.txt;1
12;../fake-data/blob/preview-title/preview-title-12.txt;Παπαδημούλης;2020-10-21T11:18:14;;../fake-data/blob/preview-text/preview-text-12.txt;../fake-data/blob/main-article-url/main-article-url-12.txt;1
13;../fake-data/blob/preview-title/preview-title-13.txt;Κοτζιάς"," Βαρδάκης;2020-10-21T01:34:58;;../fake-data/blob/preview-text/preview-text-13.txt;../fake-data/blob/main-article-url/main-article-url-13.txt;1
14;../fake-data/blob/preview-title/preview-title-14.txt;Χαρδαλιάς;2020-10-20T21:20:40;;../fake-data/blob/preview-text/preview-text-14.txt;../fake-data/blob/main-article-url/main-article-url-14.txt;1
15;../fake-data/blob/preview-title/preview-title-15.txt;Μηταράκης;2020-10-21T06:32:04;;../fake-data/blob/preview-text/preview-text-15.txt;../fake-data/blob/main-article-url/main-article-url-15.txt;1
16;../fake-data/blob/preview-title/preview-title-16.txt;Πέτσας"," Στέλιος;2020-10-20T23:26:11;;../fake-data/blob/preview-text/preview-text-16.txt;../fake-data/blob/main-article-url/main-article-url-16.txt;1
17;../fake-data/blob/preview-title/preview-title-17.txt;Τσίπρας;2020-10-20T15:32:00;;../fake-data/blob/preview-text/preview-text-17.txt;../fake-data/blob/main-article-url/main-article-url-17.txt;1
18;../fake-data/blob/preview-title/preview-title-18.txt;Καμίνης;2020-10-20T18:06:18;;../fake-data/blob/preview-text/preview-text-18.txt;../fake-data/blob/main-article-url/main-article-url-18.txt;1
19;../fake-data/blob/preview-title/preview-title-19.txt;Αλκιβιάδης Στεφανής;2020-10-21T03:24:07;;../fake-data/blob/preview-text/preview-text-19.txt;../fake-data/blob/main-article-url/main-article-url-19.txt;1
20;../fake-data/blob/preview-title/preview-title-20.txt;ΑΠΕ/ΜΠΕ"," Anadolu;2020-10-21T07:23:49;;../fake-data/blob/preview-text/preview-text-20.txt;../fake-data/blob/main-article-url/main-article-url-20.txt;1
21;../fake-data/blob/preview-title/preview-title-21.txt;Κυβέρνηση;2020-10-21T04:14:17;;../fake-data/blob/preview-text/preview-text-21.txt;../fake-data/blob/main-article-url/main-article-url-21.txt;1
22;../fake-data/blob/preview-title/preview-title-22.txt;Συντάκτης;2020-10-21T11:18:14;;../fake-data/blob/preview-text/preview-text-22.txt;../fake-data/blob/main-article-url/main-article-url-22.txt;1
23;../fake-data/blob/preview-title/preview-title-23.txt;Ταγίπ Ερντογάν;2020-10-21T01:34:58;;../fake-data/blob/preview-text/preview-text-23.txt;../fake-data/blob/main-article-url/main-article-url-23.txt;1
24;../fake-data/blob/preview-title/preview-title-24.txt;ΑΠΕ/ΜΠΕ;2020-10-20T21:20:40;;../fake-data/blob/preview-text/preview-text-24.txt;../fake-data/blob/main-article-url/main-article-url-24.txt;1
