id;preview_title;preview_image;preview_image_content_type;image_thumb_preview;image_thumb_preview_content_type;article_date;author;published;content;preview_text;article_date_updated;category_id
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-09-11T07:47:56;index Small;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-09-10T23:13:11;1
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-09-10T22:41:13;unleash;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-09-10T11:06:26;2
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-09-11T05:25:12;Kuwait Sleek backing up;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-09-10T16:04:23;3
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-09-11T04:23:48;Borders Cocos (Keeling) Islands visualize;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-09-10T23:45:01;4
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-09-10T12:28:59;teal AGP Checking Account;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-09-11T00:56:57;5
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-09-11T05:46:10;Nevada Dynamic Principal;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-09-11T03:52:36;6
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-09-10T19:38:25;Gorgeous Wooden Pants;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-09-10T12:14:25;7
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-09-10T15:28:40;Trail Sports XSS;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-09-10T16:40:50;8
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-09-11T03:15:26;Borders Rustic magenta;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-09-11T05:08:36;9
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-09-11T00:28:33;Outdoors;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-09-10T18:34:42;10
